iter	Logloss
951	0.1315577371
952	0.1314567715
953	0.1314332145
954	0.1313568957
955	0.1313193557
956	0.131219963
957	0.1311402011
958	0.1309943756
959	0.1308952183
960	0.1307680328
961	0.1306866113
962	0.1305802828
963	0.1304760351
964	0.1302990604
965	0.1301530863
966	0.1299879644
967	0.1298490995
968	0.1297806331
969	0.1297247503
970	0.1296538068
971	0.1295831358
972	0.1295270177
973	0.1294744046
974	0.1294233025
975	0.1293492008
976	0.129286283
977	0.1292509104
978	0.1291080822
979	0.1290012459
980	0.1289628388
981	0.1288013087
982	0.1286334868
983	0.1285987829
984	0.1284738268
985	0.1283158265
986	0.128186486
987	0.1281213884
988	0.1280611459
989	0.1280027117
990	0.1279273962
991	0.1278776813
992	0.1278076296
993	0.1277565151
994	0.1277118782
995	0.1275817822
996	0.1275069373
997	0.1274442797
998	0.1273041515
999	0.127166587
